A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,Val,Target
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23597758197893579,0.7640224180210642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7092.71,6985.745
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49929978302659966,0.5007002169734004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6985.745,6901.91
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.705681466052177,0.294318533947823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6901.91,6914.41
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.674909461068343,0.3250905389316569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6914.41,6772.81
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02349473352521224,0.9765052664747877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6772.81,6755.56
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06596010040290302,0.934039899597097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6755.56,6660.775
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29929805979432067,0.7007019402056793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6660.775,6633.99
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36523631207367957,0.6347636879263204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6633.99,6508.155
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6750119318449389,0.32498806815506115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6508.155,6515.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6581119467078156,0.3418880532921844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6515.02,6531.25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6181575754368067,0.3818424245631933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6531.25,6592.7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46688239893627964,0.5331176010637203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6592.7,6635.325
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36194986194140605,0.638050138058594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6635.325,6471.67
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7648292599917524,0.23517074000824753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6471.67,6355.37
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05113199436134357,0.9488680056386565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6355.37,6371.19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0121869448538041,0.9878130551461959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6371.19,6205.135
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42097456786104576,0.5790254321389543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6205.135,6295.16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19935458796747482,0.8006454120325252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6295.16,6309.375
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16436066389985854,0.8356393361001414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6309.375,6391.84
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9613515926205092,0.03864840737949086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6391.84,6357.645
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04553148945428446,0.9544685105457156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6357.645,6514.58
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6591951212832478,0.3408048787167522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6514.58,6520.115
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6455692774764065,0.35443072252359353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6520.115,6565.735
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5332637680874065,0.46673623191259345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6565.735,6547.175
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5789540410874019,0.42104595891259816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6547.175,6573.905
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5131511856299725,0.48684881437002747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6573.905,6538.14
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6011960462897167,0.3988039537102834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6538.14,6502.065
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6900040526730631,0.3099959473269369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6502.065,6555.24
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5590999434718332,0.4409000565281668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6555.24,6642.84
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3434497325451243,0.6565502674548757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6642.84,6663.54
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2924912922918958,0.7075087077081043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6663.54,6666.405
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2854383487496016,0.7145616512503984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6666.405,6646.97
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3332826620984653,0.6667173379015346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6646.97,6616.31
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40876023592281274,0.5912397640771873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6616.31,6624.34
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3889922999211985,0.6110077000788016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6624.34,6581.285
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4949833938875167,0.5050166061124833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6581.285,6611.68
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4201581865688251,0.5798418134311749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6611.68,6605.275
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43592576192254323,0.5640742380774568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6605.275,6367.105
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02224323608252111,0.9777567639174789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6367.105,6459.08
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7958228234114704,0.20417717658852966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6459.08,6388.235
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.970226238857848,0.029773761142151994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6388.235,6446.88
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8258563002756918,0.17414369972430824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6446.88,6497.905
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7002449759316827,0.29975502406831733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6497.905,6513.99
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6606475599184851,0.3393524400815149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6513.99,6505.515
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6815109792975231,0.31848902070247687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6505.515,6466.835
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7767318715194995,0.22326812848050048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6466.835,6466.275
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7781104573427763,0.22188954265722374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6466.275,6424.57
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8807781747708395,0.11922182522916049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6424.57,6444.405
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8319491572624917,0.16805084273750823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6444.405,6493.405
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7113228977258629,0.2886771022741371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6493.405,6511.15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6676389594508125,0.33236104054918747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6511.15,6478.115
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7489632142220884,0.2510367857779116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6478.115,6538.17
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6011221934777561,0.3988778065222439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6538.17,6580.395
