A0,A1,A2,A3,A4,A5,A6,Val,Target
0.0401945132966428,0.9598054867033572,0.0,0.0,0.0,0.0,0.0,13055.0,13563.0
0.0,0.6667121791370829,0.3332878208629171,0.0,0.0,0.0,0.0,13563.0,13867.0
0.0,0.44321093979750376,0.5567890602024963,0.0,0.0,0.0,0.0,13867.0,14696.0
0.0,0.0,0.833728941730033,0.16627105826996705,0.0,0.0,0.0,14696.0,15460.0
0.0,0.0,0.2720350376003011,0.7279649623996989,0.0,0.0,0.0,15460.0,15311.0
0.0,0.0,0.38158005293450276,0.6184199470654973,0.0,0.0,0.0,15311.0,15603.0
0.0,0.0,0.1669012309372754,0.8330987690627246,0.0,0.0,0.0,15603.0,15861.0
0.0,0.0,0.0,0.9772192580767115,0.02278074192328848,0.0,0.0,15861.0,16807.0
0.0,0.0,0.0,0.2817186909213106,0.7182813090786894,0.0,0.0,16807.0,16919.0
0.0,0.0,0.0,0.1993761290593604,0.8006238709406396,0.0,0.0,16919.0,16388.0
0.0,0.0,0.0,0.5897680964584279,0.4102319035415721,0.0,0.0,16388.0,15433.0
0.0,0.0,0.2918854766205927,0.7081145233794073,0.0,0.0,0.0,15433.0,15497.0
0.0,0.0,0.24483258412804973,0.7551674158719502,0.0,0.0,0.0,15497.0,15145.0
0.0,0.0,0.5036234928370361,0.4963765071629639,0.0,0.0,0.0,15145.0,15163.0
0.0,0.0,0.4903898668235084,0.5096101331764916,0.0,0.0,0.0,15163.0,15984.0
0.0,0.0,0.0,0.8867894803176055,0.11321051968239453,0.0,0.0,15984.0,16859.0
0.0,0.0,0.0,0.24348821577111943,0.7565117842288805,0.0,0.0,16859.0,18150.0
0.0,0.0,0.0,0.0,0.29434315002310496,0.7056568499768977,0.0,18150.0,18970.0
0.0,0.0,0.0,0.0,0.0,0.6914779649623961,0.30852203503760384,18970.0,19328.0
0.0,0.0,0.0,0.0,0.0,0.4282758475822342,0.5717241524177658,19328.0,19337.0
0.0,0.0,0.0,0.0,0.0,0.4216590345754703,0.5783409654245296,19337.0,18876.0
