A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,Val,Target
0.3690269504155545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13055.0,13563.0
0.5126238028177772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13563.0,13867.0
0.5985557774836742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13867.0,14696.0
0.8328900110298211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14696.0,15460.0
0.0,0.34396641217361895,0.656033587826381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15460.0,15311.0
0.6735963601978944,0.3264036398021056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15311.0,15603.0
0.0,0.0,0.7748852063306022,0.22511479366939774,0.0,0.0,0.0,0.0,0.0,0.0,15603.0,15861.0
0.0,0.0,0.13417635386995758,0.8658236461300425,0.0,0.0,0.0,0.0,0.0,0.0,15861.0,16807.0
0.0,0.0,0.0,0.6627409195988149,0.33725908040118513,0.0,0.0,0.0,0.0,0.0,16807.0,16919.0
0.0,0.0,0.0,0.6203930637236926,0.3796069362763073,0.0,0.0,0.0,0.0,0.0,16919.0,16388.0
0.0,0.0,0.0,0.8211672732744953,0.17883272672550468,0.0,0.0,0.0,0.0,0.0,16388.0,15433.0
0.0,0.5213669036386839,0.4786330963613162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15433.0,15497.0
0.0,0.10086203498075227,0.8991379650192477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15497.0,15145.0
0.9598092762435966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15145.0,15163.0
0.9648973536909194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15163.0,15984.0
0.0,0.0,0.0,0.9739220391097576,0.026077960890242422,0.0,0.0,0.0,0.0,0.0,15984.0,16859.0
0.0,0.0,0.0,0.6430794150853653,0.3569205849146347,0.0,0.0,0.0,0.0,0.0,16859.0,18150.0
0.0,0.0,0.0,0.1549447549533762,0.8450552450466238,0.0,0.0,0.0,0.0,0.0,18150.0,18970.0
0.0,0.0,0.0,0.0,0.048967261649458506,0.9510327383505415,0.0,0.0,0.0,0.0,18970.0,19328.0
0.0,0.0,0.0,0.0,0.0,0.8522187649561606,0.0,0.0,0.0,0.0,19328.0,19337.0
0.0,0.0,0.0,0.0,0.0,0.84827066752238,0.0,0.0,0.0,0.0,19337.0,18876.0
